item>>brand,item>>categories,item>>color,item>>description,item>>gender,item>>image,item>>instock,item>>price,item>>seller,item>>sku,item>>title,item>>url
Mila,"Одежда, обувь и аксессуары,Женская одежда",Синий,Рубашка в офисном стиле - благодаря которому Вы всегда подчеркнуто женственны и элегантны.,Женский,https://static.cdek.market/images/market/cd0eaa072831667f44709aac97ba4c51.jpg,yes,2555,Mila Bezgerts,176СГа091976ЛП,Рубашка 1976ЛП,https://cdek.market/p/10835409/rubashka-1976lp/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Красный,"Стильная модель, для подвижных и активных, | красота и необычность драпировок лучше всего заиграют в движении.",Женский,https://static.cdek.market/images/market/eb776d655527e0a5563b44cfda24d1a0.jpg,yes,1645,Mila Bezgerts,450Кд091642Ла,Блузка 1642Ла,https://cdek.market/p/10835548/bluzka-1642la/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Голубой,"Блузка из коллекции Орхидея. Женственный силуэт, оригинальный крой делает эту блузку невероятно эффектной. Прекрасный выбор для торжественного вечера.",Женский,https://static.cdek.market/images/market/9d1df7dfebc59b9829d9310f4e1fc687.jpg,yes,1495,Mila Bezgerts,447Гол092149ЛП,Блузка с кружевом 2149ЛП,https://cdek.market/p/10835728/bluzka-s-kruzhevom-2149lp/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Белый,Стильное цветовое решение позволяет подчеркнуть пропорции фигуры и придать силуэту легкость.,Женский,https://static.cdek.market/images/market/9025008bd7d32beda4fff53ef2f7d858.jpg,yes,1195,Mila Bezgerts,176Г092221ЮП,Блузка 2221ЮП,https://cdek.market/p/10835763/bluzka-2221yup/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Разноцветный,Замечательный выбор для повседневного гардероба.,Женский,https://static.cdek.market/images/market/b35bcf278e2494455431afb2c2c02dea.jpg,yes,2955,Mila Bezgerts,176РГа092297ЮП,Блузка 2297ЮП,https://cdek.market/p/10836899/bluzka-2297yup/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Белый,Универсальная модель для повседневного и делового гардероба.,Женский,https://static.cdek.market/images/market/65b93bba7005a5544e003857c1c7a092.jpg,yes,1270,Mila Bezgerts,176М091839ЮПБ,Блузка 1839ЮПБ,https://cdek.market/p/10836994/bluzka-1839yupb/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Белый,Строгость и элегантность - основные составляющие этой блузки.,Женский,https://static.cdek.market/images/market/945f3c7d9651b483dd4099017a798b2e.jpg,yes,3190,Mila Bezgerts,176Бел092553АП,Блузка 2553АП,https://cdek.market/p/10836998/bluzka-2553ap/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Розовый,Замечательный выбор для повседневного гардероба.,Женский,https://static.cdek.market/images/market/c7bdd39afd43a9c051f6f75ad7ac840a.jpg,yes,3690,Mila Bezgerts,131К092297ЮП,Блузка 2297ЮП,https://cdek.market/p/10837026/bluzka-2297yup/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Темно-синий,"Блузка с воротником-стойкой, оформленная складками и декоративной брошью, сделает Ваш образ женственным и элегантным.",Женский,https://static.cdek.market/images/market/17502b2aecb904b3f2407a2795444e0b.jpg,yes,2590,Mila Bezgerts,176ТС091647о,Блузка 1647о,https://cdek.market/p/10837034/bluzka-1647o/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Сиреневый,"Представленный вариант блузки очень стильный , станет отличным помощником в создании элегантного образа.",Женский,https://static.cdek.market/images/market/b53dc125897c11b5047893a05066675c.jpg,yes,2390,Mila Bezgerts,131К091562оп,Блузка 1562оп,https://cdek.market/p/10837070/bluzka-1562op/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Голубой,Базовая блузка для офиса с мягкой складкой на спинке.,Женский,https://static.cdek.market/images/market/05f35450480649ca5f1744aed37e6711.jpg,yes,2635,Mila Bezgerts,176ГГА092487АП,Рубашка 2487АП,https://cdek.market/p/10836520/rubashka-2487ap/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Белый,Прекрасный выбор для обновления офисного гардероба.,Женский,https://static.cdek.market/images/market/22a083dd36918d52ea802b97754d05a3.jpg,yes,2235,Mila Bezgerts,143Б092330ЮП,Блузка 2330ЮП,https://cdek.market/p/10836664/bluzka-2330yup/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Белый,Базовая блузка для офиса с мягкой складкой на спинке.,Женский,https://static.cdek.market/images/market/002f47e4036263a82734ffaebc5e76fc.jpg,yes,2635,Mila Bezgerts,143Б092487АП,Рубашка 2487АП,https://cdek.market/p/10836686/rubashka-2487ap/
Mila,"Одежда, обувь и аксессуары,Женская одежда",Разноцветный,.Платье -рубашка : элегантный женственный вариант для Вашего повседневного гардероба.,Женский,https://static.cdek.market/images/market/a1c37ba2ceedcf16dffa4a992d861c94.jpg,yes,2795,Mila Bezgerts,142Са091976ЛП,Рубашка 1976ЛП,https://cdek.market/p/10836763/rubashka-1976lp/
