item>>brand,item>>categories,item>>color,item>>description,item>>gender,item>>image,item>>instock,item>>price,item>>rating,item>>seller,item>>sku,item>>total_reviews,item>>url
Confidence,"Бюстгальтеры ортопедические,Здоровье",пудровый,,Женский,https://images.wbstatic.net/c516x688/new/14660000/14669031-1.jpg,yes,5 840,5,МАЙЛС МЕД ООО,14669031,44,https://www.wildberries.ru/catalog/14669031/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Предназначен для протезирования при отсутствии необходимости в замещении дефекта подключичной области. Данная форма протеза обеспечивает естественный вид при ношении бюстгальтера.Экзопротез молочной железы симметричной формы изготовен из высококачественного нетоксичного, гипоаллергенного силиконового геля, в симметричном исполнении, плотность которого соответствует плотности настоящей груди. Экзопротез имеет мягкую и нжную структуру, быстро принимает температуру тела.Внешнее покрытие - специальная двухслойная матированная полиуретановая оболочка, схожая на ощупь с кожей. Экзопротез имеет мягкую и нежную структуру, быстро адаптируется к температуре тела.Экзопротезы зарегистрированы в качестве медицинского средства, о чем свидетельствует соответствующая запись в реестре медицинских изделий. Кроме того, все протезы грудной железы изготовлены в соответствии системой менеджмента качества по ГОСТ ISO 9001-2015, подтверждающей высокое качество и безопасность использования.",,https://images.wbstatic.net/c516x688/new/39490000/39497683-1.jpg,yes,5 577,3,ИП Кузнецов С.В.,39497683,2,https://www.wildberries.ru/catalog/39497683/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье",телесный,"Экзопротез молочной железы симметричной формы, **размеры с 4 по 7, правая сторона.**Предназначен для постоянного дневного ношения.Обеспечивает сбалансированную осанку, компенсирует весовой дисбаланс и предупреждает вторичные деформации тела.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матированная полиуретановая оболочка, схожая на ощупь с кожей. Протез грудной железы имеет нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза груди:** необходимо воспользоваться инструкциями в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://images.wbstatic.net/c516x688/new/39390000/39399440-1.jpg,yes,5 171,5,ИП Кузнецов С.В.,39399440,6,https://www.wildberries.ru/catalog/39399440/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,Почувствуй комфорт профессионального белья. Бюстгальтер выполнен из гладкого трикотажного полотна. Кармашки для протезов находятся с обеих сторон. Специальный Т-образный крой чашки надежно фиксирует протез. Широкие бретели снимают напряжение с плеч и шеи. Обхват регулируется удобной застёжкой сзади. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Перед применением проконсультируйтесь со специалистом.,Женский,https://images.wbstatic.net/c516x688/new/10820000/10824846-1.jpg,yes,2 193,5,ПРЕДПРИЯТИЕ АИСТ ООО,10824846,98,https://www.wildberries.ru/catalog/10824846/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",серый,,Женский,https://images.wbstatic.net/c516x688/new/12590000/12598771-1.jpg,yes,2 023,5,ПРЕДПРИЯТИЕ АИСТ ООО,12598771,242,https://www.wildberries.ru/catalog/12598771/detail.aspx
Confidence,"Бюстгальтеры ортопедические,Здоровье",слоновая кость,,Женский,https://images.wbstatic.net/c516x688/new/14660000/14669032-1.jpg,yes,5 840,5,МАЙЛС МЕД ООО,14669032,41,https://www.wildberries.ru/catalog/14669032/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черный,Почувствуй комфорт профессионального белья. Бюстгальтер выполнен из гладкого трикотажного полотна. Кармашки для протезов находятся с обеих сторон. Специальный Т-образный крой чашки надежно фиксирует протез. Широкие бретели снимают напряжение с плеч и шеи. Обхват регулируется удобной застёжкой сзади. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Перед применением проконсультируйтесь со специалистом.,Женский,https://images.wbstatic.net/c516x688/new/10820000/10824847-1.jpg,yes,1 938,5,ПРЕДПРИЯТИЕ АИСТ ООО,10824847,98,https://www.wildberries.ru/catalog/10824847/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,,Женский,https://images.wbstatic.net/c516x688/new/10240000/10245920-1.jpg,yes,2 320,5,ПРЕДПРИЯТИЕ АИСТ ООО,10245920,47,https://www.wildberries.ru/catalog/10245920/detail.aspx
Anita,"Бюстгальтеры ортопедические,Здоровье",черный,"Притягательный бюстгальтер с кармашками для протеза с обеих сторон. Чашки с вертикальными швами, подобно пуш-ап, придают груди аккуратную и соблазнительную форму. В больших размерах для надежной поддержки бюста предназначена дополнительная потайная деталь. В модели черного цвета подкладка выполнена из цветного тюля и выглядит очень естественно. Необычные бретели из мягкого вспененного материала в чехле из мягчайшего микроволокна. Спинка усилена прочной эластичной тканью. 20% хлопка в составе.",Женский,https://images.wbstatic.net/c516x688/new/43290000/43295258-1.jpg,yes,7 893,5,МАЙЛС МЕД ООО,43295258,58,https://www.wildberries.ru/catalog/43295258/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Экзопротез молочной железы симметричной формы, **размеры с 8 по 12, правая сторона.**Предназначен для постоянного дневного ношения.Обеспечивает сбалансированную осанку, компенсирует весовой дисбаланс и предупреждает вторичные деформации тела.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матированная полиуретановая оболочка, схожая на ощупь с кожей. Протез грудной железы имеет нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза груди:** необходимо воспользоваться инструкциями в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://images.wbstatic.net/c516x688/new/39400000/39401645-1.jpg,yes,6 566,3,ИП Кузнецов С.В.,39401645,2,https://www.wildberries.ru/catalog/39401645/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черничный,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 997,5,ПРЕДПРИЯТИЕ АИСТ ООО,12195322,242,https://www.wildberries.ru/catalog/12195322/detail.aspx
Confidence,"Бюстгальтеры ортопедические,Здоровье",бежевый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,4 628,4,МАЙЛС МЕД ООО,14669029,32,https://www.wildberries.ru/catalog/14669029/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 411,4,ПРЕДПРИЯТИЕ АИСТ ООО,10483997,63,https://www.wildberries.ru/catalog/10483997/detail.aspx
Lanni Mode,"Бюстгальтеры ортопедические,Здоровье","черный, черный матовый","Бюстгальтер без кармашков под п из неэластичного и эластичного трикотажа и хлопчатобумажной ткани.Ортопедически правильн бюстгальтер из хлопка с широким поясом. Мягкая чашка на подкладке из тканого хлопкового полотна. Отделка тесьма с эффектом мережки и атласный бантик. Бюстгальтер выполнен в ретро стиле с расширенным поясом снизу. Мягкая закрытая чашка с внутренней поверхностью из хлопка повторяют очертания груди, отделка тесьмой с эффектом мережки. Бретели широкие, Эластичные регулируемые несъемные Ширина 2,0 см 2,5 см в зависимости от размера. Большие размеры - 85D, 90D, 95D, 100D, 105D, 110D,80E, 85E, 90E, 95E, 100E, 105E. 110E. Бюстгальтер больших размеров имеет многоуровневую застежку на крючках. Подходит для беременных и будущих мам. Лифчик без косточек позволяет носить бюстгальтер после операции и маммопластики. Корректирующее бюстье. Повседневное белье на каждый день, офис, для сна и отдыха. Бюстгальтер базовый черный, бежевый. Лиф мягкий хлопковый с широкой спинкой",Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 224,4,ИП Матушкина К. А.,43482707,51,https://www.wildberries.ru/catalog/43482707/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",белый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 303,5,ПРЕДПРИЯТИЕ АИСТ ООО,10245919,122,https://www.wildberries.ru/catalog/10245919/detail.aspx
Крейт,"Вкладыши после мастэктомии,Здоровье",,"Цвет и конструкция готового изделия могут отличаться от представленных на фото без нарушения функциональных свойств. Описание: Облегченный вкладыш компенсирует форму и объем молочной железы в раннем послеоперационном периоде (в первые 2-3 месяца после мастэктомии). Объем вкладыша можно регулировать через специальное отверстие. Вкладыш выполнен из трикотажного хлопчатобумажного полотна. Подходит для правой и левой стороны. Состав: 95% хлопок, 5% эластан, внутри синтепух. Цена за 1 шт. Модель М2.",,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,576,5,Белозеров Александр Евгеньевич ИП,27767923,13,https://www.wildberries.ru/catalog/27767923/detail.aspx
Red Peony,"Купальники ортопедические,Здоровье","черный, синий, зеленый, голубой",,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,3 950,4,Попова Наталья Михайловна ИП,34461374,12,https://www.wildberries.ru/catalog/34461374/detail.aspx
Camelia,"Вкладыши после мастэктомии,Здоровье",бежевый,,,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,472,4,ПРЕДПРИЯТИЕ АИСТ ООО,15932849,76,https://www.wildberries.ru/catalog/15932849/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 870,5,ПРЕДПРИЯТИЕ АИСТ ООО,12598769,242,https://www.wildberries.ru/catalog/12598769/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черный,"Почувствуй комфорт профессионального белья. Бюстгальтер предназначен для фиксации протеза молочной железы. Выполнен из трикотажного полотна с кружевной отделкой. Специальные кармашки для протезов, выполненные из хлопка, находятся с обеих сторон внутри чашек бюстгальтера. Широкие кружевные бретели снимают напряжение с плеч и шеи. Обхват регулируется удобной застёжкой сзади. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Рисунок кружева может отличаться от представленного на фото. Перед применением проконсультируйтесь со специалистом.",Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 938,5,ПРЕДПРИЯТИЕ АИСТ ООО,870762,90,https://www.wildberries.ru/catalog/870762/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черничный,"Почувствуй комфорт профессионального белья. Бюстгальтер предназначен для фиксации протеза молочной железы. Выполнен из трикотажного полотна с кружевной отделкой. Специальные кармашки для протезов, выполненные из хлопка, находятся с обеих сторон внутри чашек бюстгальтера. Широкие кружевные бретели снимают напряжение с плеч и шеи. Обхват регулируется удобной застёжкой сзади. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Рисунок кружева может отличаться от представленного на фото. Перед применением проконсультируйтесь со специалистом.",Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 904,5,ПРЕДПРИЯТИЕ АИСТ ООО,12705784,90,https://www.wildberries.ru/catalog/12705784/detail.aspx
Tonus Elast,"Бюстгальтеры ортопедические,Здоровье",белый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 904,5,"ООО ""Эласт Медикл""",27984395,45,https://www.wildberries.ru/catalog/27984395/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Протез молочной железы треугольной формы, **размеры с 0 по 3.**Предназначен для протезирования после простой или модифицированной радикальной мастэктомии. Протез груди максимально скрывает неровности, улучшает силуэт.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матовая полиуретановая оболочка, схожая на ощупь с кожей. Экзопротез имеет мягкую и нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза грудной железы:** Необходимо воспользоваться инструкциями, расположенными в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,3 481,4,ИП Кузнецов С.В.,39496287,6,https://www.wildberries.ru/catalog/39496287/detail.aspx
RITA ORTO,"Вкладыши после мастэктомии,Здоровье",телесный,"Экзопротез молочной железы представляет собой изделие из силиконового геля телесного цвета в оболочке из полиуретановой пленки. Придает телу женщины сбалансированную форму и уменьшает нагрузку на плечевой пояс, а также великолепно имитирует натуральную грудь. Свойства: Изготовлен по передовым технологиям из экологически чистых современных материалов, позволяет максимально естественно компенсировать весовой дисбаланс, по тактильным ощущениям напоминает естественную грудь, создает ощущение естественных колебаний груди при ходьбе, плавании и занятиях спортом. Правое и левое исполнение. Уход: Ручная мойка экзопротеза мягкими моющими средствами при температуре воды не более 40 градусов. Не применять машинную стирку и сушку, избегать контакт протеза с острыми и режущими предметами. В комплекте: Экзопротоз 1 шт., Чехол 1 шт., Накладка 1 шт., Инструкция.",,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 840,4,ИП Шишканов Дмитрий Николаевич,64518289,3,https://www.wildberries.ru/catalog/64518289/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",белый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 295,5,ПРЕДПРИЯТИЕ АИСТ ООО,10245921,47,https://www.wildberries.ru/catalog/10245921/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черный,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 980,4,ПРЕДПРИЯТИЕ АИСТ ООО,12349340,29,https://www.wildberries.ru/catalog/12349340/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 150,5,ПРЕДПРИЯТИЕ АИСТ ООО,53922176,159,https://www.wildberries.ru/catalog/53922176/detail.aspx
Red Peony,"Купальники ортопедические,Здоровье",черный,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,4 075,4,Попова Наталья Михайловна ИП,34461092,12,https://www.wildberries.ru/catalog/34461092/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",серо-коричневый,"Почувствуй комфорт профессионального белья. Бюстгальтер ортопедический предназначен для фиксации протеза молочной железы. Формованные чашки. ""Косточек"" нет. Обхват регулируется удобной застежкой сзади. Кармашки для протезов находятся с обеих сторон. Широкие бретели с дубляжом снимают напряжение с плеч и шеи. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Бюстгальтер выполнен из трикотажного полотна, микрофибры. Принт ткани может отличаться, варианты представлены на фото. Перед применением проконсультируйтесь со специалистом.",Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 482,5,ПРЕДПРИЯТИЕ АИСТ ООО,17392358,90,https://www.wildberries.ru/catalog/17392358/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Экзопротез молочной железы симметричной формы, **размеры с 8 по 12, левая сторона.**Предназначен для постоянного дневного ношения.Обеспечивает сбалансированную осанку, компенсирует весовой дисбаланс и предупреждает вторичные деформации тела.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матированная полиуретановая оболочка, схожая на ощупь с кожей. Протез грудной железы имеет нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза груди:** необходимо воспользоваться инструкциями в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,6 566,5,ИП Кузнецов С.В.,39439726,2,https://www.wildberries.ru/catalog/39439726/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 354,5,ПРЕДПРИЯТИЕ АИСТ ООО,10245918,122,https://www.wildberries.ru/catalog/10245918/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черный,Почувствуй комфорт профессионального белья. Бюстгальтер ортопедический предназначен для фиксации протеза молочной железы. Выполнен из трикотажного и кружевного полотна. Специальный Т-образный крой чашки хорошо фиксирует протез. Обхват регулируется удобной застежкой сзади. Кармашки для протезов находятся с обеих сторон. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Бретели из эластичной бретелечной ленты с регулировкой длины спереди. Перед применением проконсультируйтесь со специалистом.,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 023,5,ПРЕДПРИЯТИЕ АИСТ ООО,65280958,61,https://www.wildberries.ru/catalog/65280958/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",белый,Почувствуй комфорт профессионального белья. Бюстгальтер ортопедический предназначен для фиксации протеза молочной железы. Выполнен из трикотажного и кружевного полотна. Специальный Т-образный крой чашки хорошо фиксирует протез. Обхват регулируется удобной застежкой сзади. Кармашки для протезов находятся с обеих сторон. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Бретели из эластичной бретелечной ленты с регулировкой длины спереди. Перед применением проконсультируйтесь со специалистом.,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 193,5,ПРЕДПРИЯТИЕ АИСТ ООО,19533789,61,https://www.wildberries.ru/catalog/19533789/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,Почувствуй комфорт профессионального белья. Бюстгальтер ортопедический предназначен для фиксации протеза молочной железы. Выполнен из трикотажного и кружевного полотна. Специальный Т-образный крой чашки хорошо фиксирует протез. Обхват регулируется удобной застежкой сзади. Кармашки для протезов находятся с обеих сторон. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Бретели из эластичной бретелечной ленты с регулировкой длины спереди. Перед применением проконсультируйтесь со специалистом.,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 904,5,ПРЕДПРИЯТИЕ АИСТ ООО,11075068,61,https://www.wildberries.ru/catalog/11075068/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черный,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 997,5,ПРЕДПРИЯТИЕ АИСТ ООО,12349337,242,https://www.wildberries.ru/catalog/12349337/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черный,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,2 388,5,ПРЕДПРИЯТИЕ АИСТ ООО,18369257,122,https://www.wildberries.ru/catalog/18369257/detail.aspx
Red Peony,"Купальники ортопедические,Здоровье","голубой, зеленый, васильковый",,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,3 762,4,Попова Наталья Михайловна ИП,36945627,2,https://www.wildberries.ru/catalog/36945627/detail.aspx
